Competency|Definition|L1|L2|L3|L4|L5
Case Management |Kemampuan untuk mengelola case claim dalam fase pre admission, admission, monitoring, discharge termasuk melakukan pengawasan dalam masa perawatan pasien untuk memastikan bahwa semua klaim dan biaya diperlukan, masuk akal, dan sah.|"*Mampu menjelaskan konsep dasar manfaat peserta dalam masa perawatan berlangsung.
*Mampu menjelaskan prosedur administratif yang telah ditetapkan untuk pengelolaan asuransi.
*Mampu menjelaskan berbagai jenis polis asuransi, ketentuannya, hak dan kewajiban tertanggung."|"*Menjalankan tugas rutin seperti namun tidak terbatas pada pengecekan data pasien, claim pasien, benefit pasien dan prosedur layanan kesehatan di bawah supervisi.
*Menerapkan prosedur administratif yang telah ditetapkan untuk proses monitoring pasien dalam fase pre admission, admission, monitoring dan discharge di bawah supervisi.
"|"*Melakukan monitoring proses penerimaan, penjaminan, perawatan, dan pemulangan pasien secara mandiri.
*Menganalisis kesenjangan antara kondisi dan kebutuhan pasien yang terkait dengan layanan kesehatan.
*Melakukan pemecahan masalah sesuai dengan kondisi dan kebutuhan pasien."|"*Melakukan monitoring dan evaluasi terhadap proses manajemen case agar sesuai dengan standar dan prosedur.
*Menetapkan keputusan berdasarkan hasil monitoring case terkait layanan kesehatan yang diterima pasien sudah sesuai dengan benefit dan claim yang diajukan.
*Berkolaborasi dengan internal perusahaan/unit untuk meningkatkan efisiensi dan efektivitas tugas rutin terkait manajemen case."|"*Berkolaborasi dengan eksternal, seperti penyedia layanan kesehatan atau rekanan asuransi, untuk mengoptimalkan efektivitas tugas rutin manajemen case.
*Menyelaraskan dan mengintegrasikan strategi dengan input dari eksternal organisasi, termasuk regulasi dan perkembangan terbaru dalam industri asuransi dan kesehatan."
Claims & Payment Management |Kemampuan untuk mengelola dan memproses klaim layanan kesehatan serta manajemen pembayaran. Melibatkan pemahaman tentang regulasi klaim, kebijakan pembayaran, dan pemantauan kepatuhan terhadap standar industri.|"*Mampu menjelaskan terminologi, proses klaim dan pembayaran layanan kesehatan.
*Mampu menjelaskan teori terkait tugas administratif klaim dan pembayaran dengan mengumpulkan data dasar dan mengikuti instruksi yang diberikan."|"*Melakukan koordinasi dengan layanan kesehatan terkait dengan terkait pengelolaan klaim dan pembayaran di bawah supervisi.
*Menerapkan prosedur administratif yang telah ditetapkan untuk pengelolaan klaim dan pembayaran di bawah supervisi.
"|"*Mengelola tugas rutin terkait manajemen klaim dan pembayaran mulai dari penilaian awal hingga pelaksanaan tindak lanjut secara mandiri
*Melakukan pemecahan masalah sesuai dengan benefit pasien"|"*Melakukan monitoring dan evaluasi terhadap proses manajemen klaim dan pembayaran
*Berkolaborasi dengan internal perusahaan/ unit untuk meningkatkan efisiensi dan efektivitas tugas rutin terkait manajemen klaim dan pembayaran"|"*Berkolaborasi secara strategis dengan eksternal, seperti penyedia layanan kesehatan, rekanan asuransi, dan regulator, untuk meningkatkan efektivitas manajemen klaim dan pembayaran, serta mengembangkan solusi inovatif dimasa depan.
*Menyelaraskan dan mengintegrasikan strategi dengan input dari eksternal organisasi, termasuk regulasi dan perkembangan terbaru dalam industri asuransi dan kesehatan."
Clinical Analytics Predictive Modeling|Kemampuan untuk menerapkan analisis klinis dan predictive modeling dalam mengidentifikasi tren kesehatan dan memprediksi risiko untuk mendukung pengambilan keputusan.|*Mampu menjelaskan konsep dan prinsip-prinsip dasar terkait analisis klinis dan predictive modeling.|"*Mampu menjelaskan dan menyelaraskan data kesehatan yang akan digunakan untuk predictive modeling.
*Menerapkan teknik analisis klinis dasar di bawah supervisi.
*Melakukan riset untuk mengidentifikasi tren kesehatan dan risiko potensial."|"*Menerapkan analisis klinis dan predictive modeling untuk mengidentifikasi tren kesehatan dan memprediksi risiko secara mandiri.
*Menganalisis kesenjangan dalam data kesehatan dan membuat rekomendasi berdasarkan temuan.
*Melakukan pemecahan masalah terkait analisis klinis dan predictive modeling."|"*Melakukan monitoring dan evaluasi proses analisis klinis dan predictive modeling secara efektif.
*Memberikan rekomendasi yang dapat berdampak terhadap pengambilan keputusan klinis.
*Mengintegrasikan hasil analisis klinis dan predictive modeling ke dalam strategi pengambilan keputusan organisasi."|"*Memberikan guidance untuk mengelola analisis klinis dan predictive modeling.
*Mengembangkan framework dari implementasi analisis klinis dan predictive modeling berdasarkan leading practice."
Clinical Surgery Delivery |Kemampuan untuk memberikan layanan prosedur operasi klinis yang melibatkan koordinasi dan pemantauan berbagai aspek operasional, termasuk pengaturan fasilitas kesehatan, alokasi sumber daya, manajemen waktu, dan kepatuhan terhadap regulasi kesehatan.|"*Mampu menjelaskan prosedur operasional pemberian layanan operasi klinis secara end-to-end.
*Mampu menjelaskan konsep koordinasi dan pemantauan berbagai aspek operasional yang terkait dengan operasi klinis."|"*Mampu menjelaskan dan menyelaraskan prosedur operasional pemberian layanan operasi klinis secara end-to-end.
*Menjalankan koordinasi dan pemantauan aspek operasional yang terkait dengan operasi klinis termasuk pengaturan fasilitas kesehatan, alokasi sumber daya, manajemen waktu, dan kepatuhan terhadap regulasi kesehatan di bawah supervisi."|"*Menerapkan prosedur operasional pemberian layanan operasi klinis secara end-to-end secara mandiri.
*Mengelola koordinasi dan pemantauan aspek operasional yang terkait dengan operasi klinis termasuk pengaturan fasilitas kesehatan, alokasi sumber daya, manajemen waktu, dan kepatuhan terhadap regulasi kesehatan secara mandiri."|"*Melakukan monitoring dan evaluasi terhadap prosedur operasional pemberian layanan operasi klinis secara end-to-end.
*Mengorkestrasikan koordinasi dan pemantauan aspek operasional yang terkait dengan operasi klinis termasuk pengaturan fasilitas kesehatan, alokasi sumber daya, manajemen waktu, dan kepatuhan terhadap regulasi kesehatan.
*Memberikan rekomendasi tindakan untuk meningkatkan efisiensi kinerja melalui implementasi pembelajaran leading practice ."|"*Memberikan guidance dalam pelaksanaan prosedur operasional pemberian layanan operasi klinis secara end-to-end.
*Memberikan arahan strategis dalam koordinasi dan pemantauan aspek operasional yang terkait dengan operasi klinis termasuk pengaturan fasilitas kesehatan, alokasi sumber daya, manajemen waktu, dan kepatuhan terhadap regulasi kesehatan.
*Mengembangkan pedoman tindakan untuk meningkatkan efisiensi kinerja berdasarkan leading practice ."
Complaints, Appeals, & Grievance Management |Kemampuan untuk merencanakan, mengelola, dan menangani banding dan keluhan dalam layanan kesehatan yang melibatkan resolusi konflik, manajemen keberatan, dan peningkatan berkelanjutan dalam pelayanan.|"*Mampu menjelaskan konsep dalam menangani keluhan dan banding termasuk namun tidak terbatas pada resolusi konflik, manajemen keberatan, dan peningkatan berkelanjutan dalam pelayanan.

"|"*Menjalankan instruksi yang telah diberikan dengan jelas dalam menangani keluhan dan banding sederhana di bawah supervisi.
*Mengidentifikasi sumber-sumber keluhan dan banding secara mandiri.
*Melakukan pengumpulan data dan analisis terkait dengan keluhan dan banding yang diajukan."|"*Melakukan pemecahan masalah terkait keluhan dan banding yang diajukan.
*Mengembangkan analisis akar permasalahan yang mendasari keluhan dan banding."|"*Melakukan monitoring dan evaluasi terhadap efektivitas sistem manajemen keluhan, banding, dan resolusi konflik dalam layanan kesehatan.
*Berkolaborasi dengan internal perusahaan/unit dalam mengelola keluhan, banding, dan resolusi konflik.
*Mengambil keputusan dalam penyelesaian keluhan dan banding yang berdampak signifikan bagi perusahaan."|"*Memberikan arahan strategis kepada pimpinan perusahaan tentang manajemen keluhan dan banding yang efektif.
*Berkolaborasi dengan eksternal untuk meningkatkan efisiensi proses pengelolaan keluhan, banding, dan resolusi konflik."
Healthcare Policies & Data Security Standards |Kemampuan untuk mengembangkan, menerapkan, dan mematuhi kebijakan kesehatan dan standar keamanan data berdasarkan standar regulasi terkait.|*Mampu menjelaskan konsep dasar terkait kebijakan kesehatan dan standar keamanan data.|"*Menerapkan prosedur-prosedur dasar dalam kebijakan kesehatan dan standar keamanan data di bawah supervisi.
*Melakukan pengumpulan data terkait kebijakan kesehatan dan standar keamanan data."|"*Menerapkan kebijakan kesehatan dan standar keamanan data dalam lingkungan kerja secara mandiri.
*Menganalisis kesenjangan terkait implementasi kebijakan dan standar keamanan data serta melakukan pemecahan masalah yang sesuai."|"*Melakukan monitoring dan evaluasi terkait kebijakan kesehatan dan standar keamanan data yang diterapkan.
*Memberikan rekomendasi yang dapat meningkatkan kepatuhan dalam implementasi kebijakan kesehatan dan standar keamanan data di dalam organisasi."|"*Berkolaborasi dengan eksternal untuk mengevaluasi kepatuhan perusahaan asuransi terhadap peraturan OJK
*Mengembangkan framework dan pedoman berdasarkan leading practice dan regulasi eksternal terkait kebijakan kesehatan dan standar keamanan data.
"
Healthcare Service Operations & Management |"Kemampuan untuk secara efektif merancang, mengelola, dan meningkatkan pemberian layanan kesehatan yang mendukung operasional dan fungsi keseluruhan fasilitas kesehatan.Hal ini termasuk kemampuan untuk mengelola administrasi fasilitas kesehatan, koordinasi tim perawatan pasien, dan manajemen sumber daya kesehatan untuk menciptakan lingkungan yang kondusif dan meningkatkan pengalaman pasien secara keseluruhan.
"|*Mampu menjelaskan konsep pemberian layanan kesehatan yang efektif untuk menciptakan lingkungan yang kondusif bagi perawatan pasien, kelancaran operasional rumah sakit, dan juga menjaga pengalaman pasien secara keseluruhan.|"*Mampu menjelaskan dan menyelaraskan proses pemberian layanan kesehatan dari aspek operasional dan fungsi dari keseluruhan fasilitas kesehatan.
*Menerapkan pemberian layanan kesehatan secara efektif untuk menciptakan lingkungan yang kondusif bagi perawatan pasien, kelancaran operasional rumah sakit, dan juga menjaga pengalaman pasien secara keseluruhan di bawah supervisi."|"*Menerapkan proses pemberian layanan kesehatan dari aspek operasional dan fungsi dari keseluruhan fasilitas kesehatan secara mandiri.
*Mengembangkan pemberian layanan kesehatan secara efektif untuk menciptakan lingkungan yang kondusif bagi perawatan pasien, kelancaran operasional rumah sakit, dan juga menjaga pengalaman pasien secara keseluruhan secara mandiri."|"*Melakukan monitoring dan evaluasi terhadap proses pemberian layanan kesehatan dari aspek operasional dan fungsi dari keseluruhan fasilitas kesehatan.
*Memberikan rekomendasi dalam peningkatan pemberian layanan kesehatan untuk menciptakan lingkungan yang kondusif bagi perawatan pasien, kelancaran operasional rumah sakit, dan juga menjaga pengalaman pasien secara keseluruhan."|"*Memberikan arahan strategis untuk menjalankan proses pemberian layanan kesehatan dari aspek operasional dan fungsi dari keseluruhan fasilitas kesehatan.
*Mengembangkan tata kelola berdasarkan leading practice pemberian layanan kesehatan untuk menciptakan lingkungan yang kondusif bagi perawatan pasien, kelancaran operasional rumah sakit, dan juga menjaga pengalaman pasien secara keseluruhan.
"
Medical & Clinical Consultation Services|Kemampuan untuk memberikan saran dan panduan medis dan klinis yang mendalam, menggunakan pengetahuan yang mendalam tentang prinsip-prinsip kedokteran, praktik klinis, dan perkembangan terbaru dalam bidang kesehatan.Pemberi saran medis dan klinis harus dapat berkomunikasi dengan jelas dan berempati dalam memberikan informasi kepada pasien, serta berkolaborasi dengan tenaga medis profesional lainnya untuk memastikan penyampaian panduan yang efektif.|"*Mampu menjelaskan panduan medis dan klinis, termasuk prinsip dasar kedokteran dan praktik klinis.
*Mampu menjelaskan konsep dasar komunikasi seperti empati dalam memberikan informasi kepada pasien, dengan mendapatkan masukan dari tenaga medis profesional lainnya untuk menyampaikan panduan yang tepat."|"*Mampu menjelaskan dan menyelaraskan teori panduan medis dan klinis, termasuk prinsip-prinsip kedokteran dan praktik klinis.
*Melakukan pengumpulan data terkait perkembangan terbaru dalam bidang kesehatan.
*Menerapkan komunikasi berbasis empati dalam memberikan informasi kepada pasien dengan tepat dan efektif selaras dengan kolaborasi dengan tenaga medis professional lainnya di bawah supervisi.
"|"*Menerapkan saran dan panduan medis dan klinis secara tepat sesuai dengan prinsip-prinsip kedokteran dan praktik klinis secara mandiri.
*Mengelola informasi perkembangan terbaru dalam bidang kesehatan untuk dapat meningkatkan kinerja secara mandiri.
*Mengembangkan cara berkomunikasi yang efektif berbasis empati dalam memberikan informasi kepada pasien dengan tepat selaras dengan kolaborasi dengan tenaga medis professional lainnya secara mandiri."|"*Mengintegrasikan saran dan panduan medis dan klinis untuk dapat meningkatkan efisiensi dengan mempertimbangkan prinsip-prinsip kedokteran dan praktik klinis.
*Memberikan rekomendasi untuk mengaplikasikan pembelajaran dari perkembangan terbaru dalam bidang kesehatan untuk meningkatkan kinerja.
*Mengorkestrasikan cara komunikasi yang efektif dan jelas serta meningkatkan empati tim saat memberikan informasi kepada pasien berdasarkan informasi yang diterima dari tenaga medis profesional lainnya."|"*Mengembangkan pedoman berdasarkan leading practice untuk mengimplementasi saran dan panduan medis dan klinis sesuai dengan prinsip-prinsip kedokteran dan praktik klinis.
*Memberikan arahan strategis untuk menerapkan pembelajaran dari perkembangan terbaru dalam bidang kesehatan yang dapat meningkatkan kinerja.
"
Medical Facility Management|Kemampuan untuk menyediakan layanan dan fasilitas kesehatan dengan melakukan kegiatan perencanaan, pengoperasian, dan pemeliharaan fasilitas kesehatan untuk mendukung kegiatan operasional perusahaan. Hal ini termasuk namun tidak terbatas pada pengelolaan fasilitas medis, penyediaan alat kesehatan, dan penyusunan strategi optimalisasi penggunaan utilitas kesehatan.|"*Mampu menjelaskan konsep terkait pengelolaan fasilitas kesehatan termasuk namun tidak terbatas pada perencaan, pengoperasian, dan pemeliharaan fasilitas.
*Mampu menjelaskan teori terkait layanan dasar dan tugas-tugas rutin terkait pengelolaan fasilitas kesehatan dalam perusahaan.
"|"*Mengidentifikasi kebutuhan dasar stakeholder internal terkait fasilitas kesehatan untuk mendukung kegiatan operasional perusahaan.
*Menjalankan prosedur pengelolaan fasilitas kesehatan sesuai kebutuhan di bawah supervisi.
"|"*Menerapkan prosedur pengelolaan fasilitas kesehatan dengan mengimplementasikan strategi yang efisien untuk mendukung kegiatan operasional perusahaan secara mandiri.
*Melakukan pemecahan masalah terkait pengoperasian dan pengelolaan fasilitas kesehatan.
"|"*Melakukan monitoring dan evaluasi implementasi pengelolaan fasilitas kesehatan pada perusahaan secara menyeluruh untuk mengidentifikasi ruang perbaikan.
*Memformulasikan strategi optimalisasi dan prosedur terkait manajemen dan pengelolaan fasilitas kesehatan secara komprehensif.
*Berkolaborasi dengan internal perusahaan untuk memastikan penyediaan layanan dan fasilitas kesehatan berjalan dengan optimal."|"*Mengembangkan tata kelola dan pedoman pengelolaan fasilitas kesehatan perusahaan berdasarkan leading practice pada industri relevan sesuai dengan lini bisnis dan perkembangan teknologi terkini.
*Memberikan arahan strategis dalam perancangan dan implementasi strategi pengelolaan fasilitas kesehatan agar lebih efektif dan efisien.
*Memberikan guidance kepada pemimpin senior tentang strategi dan regulasi yang tepat terkait pemeliharaan fasilitas kesehatan, penggunaan sumber daya yang efisien, dan peningkatan kualitas layanan fasilitas guna mendukung sinergi antara unit/divisi ataupun antara perusahaan."
Medical Provider Network Management|Kemampuan untuk merencanakan, mengelola, dan mengoptimalkan jaringan penyedia layanan kesehatan seperti alat kesehatan dan rekanan rumah sakit yang melibatkan negosiasi kontrak, pemantauan kualitas layanan, dan memastikan akses yang memadai bagi perusahaan.|*Mampu menjelaskan teori terkait pengelolaan jaringan penyedia layanan kesehatan beserta tugas administrasi terkait.|"*Menjalankan tugas rutin dalam mengelola jaringan penyedia layanan kesehatan di bawah supervisi.
*Menerapkan prosedur administratif yang telah ditetapkan untuk pengelolaan jaringan penyedia layanan kesehatan di bawah supervisi.

"|"*Mengelola proses negosiasi kontrak dengan penyedia layanan kesehatan secara mandiri.
*Melakukan pemecahan masalah yang terjadi pada proses penyediaan layanan kesehatan."|"*Melakukan monitoring dan evaluasi terhadap kinerja penyedia layanan kesehatan.
*Memberikan rekomendasi yang dapat berdampak terhadap internal perusahaan dalam pengelolaan jaringan penyedia layanan kesehatan."|"*Berkolaborasi dengan eksternal seperti penyedia layanan kesehatan untuk meningkatkan efektivitas jaringan penyedia.
*Menyelaraskan dan mengintegrasikan strategi dengan insight dari eksternal organisasi seperti tren industri dan regulasi ke dalam strategi manajemen jaringan penyedia layanan kesehatan."
Wellness Education & Counseling|Kemampuan untuk memberikan edukasi dan konseling terkait wellness seperti namun tidak terbatas pada gizi, olahraga, dan psikologi, kepada individu atau kelompok. Melibatkan pemahaman tentang nutrisi, kebutuhan gizi, konsultasi olahraga, dan strategi konsultasi psikologi.|"*Mampu menjelaskan konsep dasar tentang gizi dan nutrisi seperti namun tidak terbatas pada makronutrien, mikronutrien, dan piramida makanan.
*Mampu menjelaskan konsep dasar terkait panduan konsultasi olahraga seperti namun tidak terbatas pada jenis olahraga yang cocok untuk individu tertentu, latihan untuk peningkatan kebugaran, dan pemulihan cedera, serta konsultasi psikologi seperti namun tidak terbatas pada psikologi klinis, industri, dan anak."|"*Mampu menjelaskan dan menyelaraskan konsep edukasi gizi dan nutrisi, olahraga, dan psikologi sesuai dengan kebutuhan individu atau kelompok, seperti anak-anak, remaja, atau orang dewasa.
*Menjalankan konseling gizi, olahraga, dan psikologi yang sederhana seperti namun tidak terbatas pada memberikan saran untuk memperbaiki pola makan harian, peningkatan kebugaran, dan psikologi industri di bawah supervisi."|"*Menerapkan konseling gizi dan nutrisi, olahraga, dan psikologi secara mandiri.
*Menerapkan prinsip-prinsip gizi dan nutrisi, olahraga, dan psikologi dalam merancang rencana rekomendasi program wellness untuk individu atau kelompok secara mandiri.
*Menganalisis kesenjangan antara kondisi kebutuhan pola makan ideal, kebutuhan olahraga, dan kebutuhan psikologis terhadap kondisi aktual individu.
"|"*Melakukan monitoring dan evaluasi terhadap progres individu atau kelompok dalam mencapai tujuan wellness mereka.
*Memberikan rekomendasi program gizi dan nutrisi, olahraga, dan psikologi yang dapat disesuaikan dengan kebutuhan individu atau kelompok dan keluhannya untuk mendukung perubahan perilaku dan gaya hidup individu atau kelompok."|"*Memberikan guidance kepada tim dalam merancang program wellness yang sesuai dengan leading practice.
*Berkolaborasi dengan eksternal seperti namun tidak terbatas pada rumah sakit atau ahli olahraga untuk mengembangkan inovasi edukasi dan konseling wellness yang sesuai dengan kebutuhan."
Wellness Program Development |Kemampuan untuk merancang, mengimplementasikan, dan mengelola program wellness kepada individu atau kelompok.|"*Mampu menjelaskan konsep dasar tentang wellness dan program pengembangan wellness.
*Mampu menjelaskan terminologi yang umum digunakan dalam pengembangan program wellness."|"*Mampu menjelaskan dan menyelaraskan konsep dasar program wellness sesuai dengan kebutuhan organisasi.
*Merancang program wellness sederhana di bawah supervisi.
*Melakukan pengumpulan data tentang preferensi dan kebutuhan jenis program wellness."|"*Menganalisis kesenjangan antara kebutuhan individu dan program wellness yang ada.
*Merancang dan mengembangkan program wellness yang sesuai dengan kebutuhan, serta mampu mengelola program secara mandiri.
*Melakukan pemecahan masalah yang muncul dalam pengembangan dan pelaksanaan program wellness."|"*Melakukan monitoring dan evaluasi terhadap efektivitas program wellness yang telah diimplementasikan terhadap individu.
*Memberikan rekomendasi yang dapat berdampak positif terhadap keberhasilan program wellness."|"*Berkolaborasi dengan eksternal, seperti namun tidak terbatas pada ahli kebugaran atau konsultan kesehatan, untuk mengembangkan framework dan pedoman program wellness berdasarkan leading practice.
*Mampu menyelaraskan dan mengintegrasikan strategi program wellness dengan wawasan dan masukan dari eksternal seperti namun tidak terbatas pada tren industri relevan."
Digital Media Creation|Kemampuan dalam mewujudkan ide atau gagasan menjadi sebuah konten/produk media (contoh: artikel, gambar, video, siaran). Meliputi kemampuan dalam penggunaan alat bantu produksi media berbasis digital.|"*Mampu menjelaskan prinsip produksi media.
*Mampu menjelaskan penggunaan alat bantu berbasis teknologi digital yang relevan terhadap produksi media."|"*Menerapkan proses produksi media yang meliputi aspek penentuan tema, penyusunan skrip, desain grafis, dan desain visual di bawah supervisi.
*Menjalankan alat bantu produksi media digital dasar (contoh: Canva) di bawah supervisi."|"*Menerapkan proses produksi media secara mandiri mulai dari proses ideation, perancangan, sampai perilisan.
*Mengembangkan ide atau gagasan menjadi berbagai macam produk media (contoh: artikel, gambar, video, siaran) secara mandiri.
"|"*Berkolaborasi dengan tim untuk proses produksi media mulai dari perencanaan jangka waktu pengerjaan, pencatatan progres, dan kontrol kualitas.
*Mengintegrasikan tren, minat pasar, dan tingkah laku audiens ke dalam proses pembuatan konten media.
*Memberikan rekomendasi terkait produksi media beserta solusi dari permasalahan teknis produksi media.
"|"*Memberikan guidance dalam melakukan analisis, optimisasi dan evaluasi pada penyusunan strategi, prosedur, dan penjagaan kualitas produksi media untuk meningkatkan efektivitas dan efisiensi.
*Mengembangkan solusi atau pendekatan inovatif dalam hal pembuatan konten/media.
*Menyelaraskan dan mengintegrasikan strategi otomasi pembuatan konten media dengan insight/input dari eksternal organisasi ."
Editorial|Kemampuan untuk memilih, mengedit, dan menyiapkan konten untuk publikasi, memastikan keakuratan, kejelasan, dan konsistensi.|*Mampu menjelaskan konsep editorial, tata bahasa, ejaan, dan tanda baca yang baik.|"*Menerapkan pedoman gaya dan format teks untuk publikasi, edit untuk kejelasan, akurasi, dan konsistensi di bawah supervisi.
*Membuat tulisan tajuk dan subjudul yang menarik di bawah supervisi.
"|"*Membuat berbagai jenis konten, seperti artikel, buku, dan situs web secara mandiri.
*Menerapkan pengelolaan proyek editorial dari awal hingga akhir secara mandiri.
*Menerapkan hukum hak cipta dan plagiarisme secara mandiri."|"*Memformulasikan standar editorial yang digunakan untuk menghasilkan berbagai jenis konten.
*Berkolaborasi dengan tim editorial untuk menjalankan proyek editorial.
*Melakukan monitoring dan evaluasi terkait konten editorial yang akan diluncurkan."|"*Mengembangkan pedoman untuk strategi editorial yang inovatif berdasarkan leading practice.
*Memberikan guidance terkait editorial konten untuk artikel, buku, dan situs web."
Event Management|Kemampuan untuk melakukan pengelolaan event sesuai dengan konsep event yang telah ditentukan, mulai dari merencanakan event (tujuan, kebutuhan sumber daya penyelenggaraan event, penjadwalan), mengelola pelaksanaan event, dan mengevaluasi penyelenggaraan event untuk memastikan kesesuaian implementasi event dengan rencana, konsep, dan budget, serta perancangan strategi optimalisasi untuk memastikan keberhasilan event yang dijalankan kedepannya.|"*Mampu menjelaskan prosedur perencanaan, pelaksanaan, dan evaluasi event termasuk identifikasi tujuan, alokasi sumber daya, penjadwalan, pengelolaan anggaran, dan implementasi event yang efektif dan efisien.
*Mampu menjelaskan mengenai teknologi dan tools yang digunakan dalam perencanaan, pelaksanaan, dan evaluasi event seperti namun tidak terbatas pada aplikasi manajemen acara (contoh: Eventbrite, Cvent), platform pendaftaran online (contoh: Google Forms, Typeform), dan perangkat lunak perencanaan anggaran (contoh: Microsoft Excel, Google Sheet)
*Mampu menjelaskan prosedur identifikasi dan analisis tren terkini dalam event management, termasuk tren penggunaan teknologi, perubahan preferensi konsumen, dan perkembangan strategi pemasaran."|"*Menerapkan langkah-langkah dalam perencanaan dan pelaksanaan event dengan memperhatikan penggunaan sumber daya yang efisien, di bawah supervisi.
*Mengidentifikasi kebutuhan yang relevan untuk penyelenggaraan event, termasuk analisis terhadap kebutuhan sumber daya, jadwal, vendor dan aspek lain yang berkaitan.
*Melakukan riset dan pengumpulan data terkait dengan target klien, tren industri event, serta analisis anggaran dan keuangan untuk mendukung perencanaan dan evaluasi event."|"*Menerapkan langkah-langkah dalam perencanaan dan pelaksanaan event dengan memperhatikan penggunaan sumber daya yang efisien secara mandiri.
*Menganalisis kesenjangan antara rencana event dan implementasinya, serta mengidentifikasi area-area yang perlu ditingkatkan untuk mencapai kesesuaian yang lebih baik.
*Melakukan pemecahan masalah terkait dengan pelaksanaan event, seperti penanganan kendala logistik atau penyesuaian terhadap perubahan yang tidak terduga dalam situasi acara."|"*Melakukan evaluasi dan monitoring selama pelaksanaan event untuk mengidentifikasi potensi perbaikan dan memastikan kesesuaiaan dengan rencana event yang telah dibuat.
*Memformulasikan strategi implementasi event yang terintegrasi dengan kebutuhan dan tujuan klien secara keseluruhan.
*Berkolaborasi dengan berbagai unit internal perusahaan untuk mengoordinasikan sumber daya dan mendukung kesuksesan pelaksanaan event."|"*Memberikan rekomendasi strategis kepada manajemen internal berdasarkan pengalaman dan hasil event, untuk pengembangan proses dan inovasi untuk penyelenggaraan event yang lebih efektif di masa depan.
*Memberikan guidance dalam mengidentifikasi dan memitigasi risiko dalam pelaksanaan event, seperti namun tidak terbatas pada target yang tidak tercapai, ketidaktepatan pemilihan konsep, serta risiko yang telah menjadi isu dan memerlukan langkah korektif.
*Mengembangkan framework event management yang sesuai dengan leading practice dan tren terkini dalam industri event management."
Journalism|Kemampuan untuk mengumpulkan, menganalisis, dan melaporkan informasi secara tepat waktu dan akurat, seringkali melalui tulisan, fotografi, atau video.|"*Mampu menjelaskan konsep dasar jurnalistik, seperti piramida terbalik dan 5W + 1H.
*Mampu menjelaskan konsep penulisan berita sederhana dengan struktur yang jelas dan mudah dipahami.
*Mampu menjelaskan konsep penggunaan tata bahasa dan ejaan dengan baik."|"*Menerapkan prinsip-prinsip jurnalistik di bawah supervisi.
*Melakukan wawancara dan penggalian informasi secara mendalam di bawah supervisi.
*Membuat berita dengan gaya yang menarik dan informatif dengan mengikuti kode etik jurnalistik di bawah supervisi."|"*Mengembangkan jenis karya jurnalistik, seperti berita, feature, dan opini dengan gaya yang profesional dan persuasif secara mandiri.
*Menerapkan metode penyebaran berita dengan menggunakan media sosial dan platform digital lainnya secara mandiri."|"*Memformulasikan metode untuk pembuatan karya jurnalistik yang inovatif dan berdampak.
*Berkolaborasi dengan tim untuk pengelolaan proyek-proyek besar.
*Memberikan rekomendasi untuk penyelesaian isu-isu kompleks."|"*Mengembangkan pedoman pembuatan karya jurnalistik yang berkualitas tinggi dan diakui secara nasional maupun internasional.
*Memberikan guidance untuk jurnalis muda dalam menghasilkan perubahan positif melalui jurnalisme."
